Player,Team,Player Pts,Worth
Djilobodji,Sunderland,23,£4.3
Naughton,Swansea,26,£4.3
Rangel,Swansea,22,£4.3
van der Hoorn,Swansea,15,£4.3
Carter-Vickers,Spurs,0,£4.3
Cathcart,Watford,5,£4.3
Britos,Watford,29,£4.3
Zuñiga,Watford,32,£4.3
Olsson,West Brom,9,£4.3
Darikwa,Burnley,0,£4.2
Souaré,Crystal Palace,6,£4.2
Hernández,Leicester,3,£4.2
Stewart,Liverpool,4,£4.2
Yoshida,Southampton,9,£4.2
Targett,Southampton,6,£4.2
McNair,Sunderland,12,£4.2
Taylor,Swansea,22,£4.2
Fernández,Swansea,13,£4.2
Collins,West Ham,23,£4.2
Oxford,West Ham,0,£4.2
Byram,West Ham,7,£4.2
Fosu-Mensah,Man Utd,1,£4.1
Nsue,Middlesbrough,10,£4.1
Muniesa,Stoke,23,£4.1
Amat,Swansea,20,£4.1
Galloway,West Brom,9,£4.1
Holding,Arsenal,7,£4.0
Smith,Bournemouth,2,£4.0
Tarkowski,Burnley,6,£4.0
Long,Burnley,0,£4.0
Wynter,Crystal Palace,0,£4.0
Kenny,Everton,0,£4.0
Holgate,Everton,23,£4.0
Clackstone,Hull,0,£4.0
Tymon,Hull,3,£4.0
Bruce,Hull,0,£4.0
Fry,Middlesbrough,0,£4.0
Gardos,Southampton,0,£4.0
Stephens,Southampton,1,£4.0
Josh Robson,Sunderland,0,£4.0
Thomas Robson,Sunderland,0,£4.0
Ledger,Sunderland,0,£4.0
Love,Sunderland,14,£4.0
Kingsley,Swansea,19,£4.0
Mariappa,Watford,0,£4.0
Eleftheriou,Watford,0,£4.0
Rowan,Watford,0,£4.0
Mason,Watford,1,£4.0
Wilson,West Brom,0,£4.0
Marc Wilson,Bournemouth,0,£3.9
Browning,Everton,0,£3.9
Pennington,Everton,0,£3.9
Lenihan,Hull,0,£3.9
Wasilewski,Leicester,1,£3.9
Randall,Liverpool,0,£3.9
Sánchez,Arsenal,143,£11.9
De Bruyne,Man City,94,£10.6
Hazard,Chelsea,120,£10.4
Özil,Arsenal,84,£9.5
Martial,Man Utd,46,£9.3
Mané,Liverpool,113,£9.2
Payet,West Ham,81,£9.1
Mahrez,Leicester,65,£9.0
Mkhitaryan,Man Utd,26,£9.0
Silva,Man City,60,£8.7
Eriksen,Spurs,111,£8.6
Alli,Spurs,115,£8.6
Nolito,Man City,49,£8.5
Pogba,Man Utd,79,£8.5
Firmino,Liverpool,97,£8.4
Coutinho,Liverpool,78,£8.2
Lallana,Liverpool,105,£7.7
Sterling,Man City,87,£7.7
Ramsey,Arsenal,12,£7.6
Walcott,Arsenal,90,£7.5
Wijnaldum,Liverpool,58,£7.5
Sané,Man City,24,£7.5
Yaya Touré,Man City,37,£7.3
Sigurdsson,Swansea,92,£7.3
Willian,Chelsea,65,£7.2
Mata,Man Utd,65,£7.2
Depay,Man Utd,3,£7.1
Arnautovic,Stoke,39,£7.1
Ayew,West Ham,24,£7.1
Cazorla,Arsenal,38,£7.0
Barkley,Everton,64,£7.0
Tadic,Southampton,46,£7.0
Fàbregas,Chelsea,42,£6.9
Pedro,Chelsea,77,£6.9
Son,Spurs,82,£6.9
Boufal,Southampton,24,£6.8
Nkoudou,Spurs,5,£6.8
Antonio,West Ham,89,£6.8
Sissoko,Spurs,29,£6.7
Lamela,Spurs,28,£6.6
Milner,Liverpool,80,£6.4
Henderson,Liverpool,64,£6.3
Herrera,Man Utd,47,£6.3
Rodriguez,Southampton,37,£6.3
Lanzini,West Ham,51,£6.3
Noble,West Ham,45,£6.2
Navas,Man City,24,£6.1
Shaqiri,Stoke,46,£6.1
Mirallas,Everton,56,£6.0
Khazri,Sunderland,14,£6.0
Chadli,West Brom,62,£6.0
Wilshere,Bournemouth,36,£5.9
Townsend,Crystal Palace,52,£5.9
Deulofeu,Everton,13,£5.9
Pereyra,Watford,43,£5.9
Chamberlain,Arsenal,51,£5.8
Iwobi,Arsenal,56,£5.8
Snodgrass,Hull,94,£5.8
Fellaini,Man Utd,21,£5.8
Redmond,Southampton,63,£5.8
Phillips,West Brom,100,£5.8
Defour,Burnley,45,£5.7
